first,best
387797,388680
385104,390748
385104,395594
385104,395130
385104,395666
385104,388461
385104,393651
385104,391064
385104,392793
385104,390642
385104,388680
386685,390748
386685,395594
386685,395130
386685,395666
386685,388461
386685,393651
386685,391064
386685,392793
386685,390642
386685,388680
393096,390748
393096,395594
393096,395130
393096,395666
393096,388461
393096,393651
393096,391064
393096,392793
393096,390642
393096,388680
396479,390748
396479,395594
396479,395130
396479,395666
396479,388461
396479,393651
396479,391064
396479,392793
396479,390642
396479,388680
387246,390748
387246,395594
387246,395130
387246,395666
387246,388461
387246,393651
387246,391064
387246,392793
387246,390642
387246,388680
391212,390748
391212,395594
391212,395130
391212,395666
391212,388461
391212,393651
391212,391064
391212,392793
391212,390642
391212,388680
386722,390748
386722,395594
386722,395130
386722,395666
386722,388461
386722,393651
386722,391064
386722,392793
386722,390642
386722,388680
402902,399465
402902,405180
402902,401763
402902,402464
402902,400564
402902,403003
402902,401185
402902,407247
402902,407665
402902,403599
402289,399465
402289,405180
402289,401763
402289,402464
402289,400564
402289,403003
402289,401185
402289,407247
402289,407665
402289,403599
398556,399465
398556,405180
398556,401763
398556,402464
398556,400564
398556,403003
398556,401185
398556,407247
398556,407665
398556,403599
399878,399465
399878,405180
399878,401763
399878,402464
399878,400564
399878,403003
399878,401185
399878,407247
399878,407665
399878,403599
404481,399465
404481,405180
404481,401763
404481,402464
404481,400564
404481,403003
404481,401185
404481,407247
404481,407665
404481,403599
402792,399465
402792,405180
402792,401763
402792,402464
402792,400564
402792,403003
402792,401185
402792,407247
402792,407665
402792,403599
402547,399465
402547,405180
402547,401763
402547,402464
402547,400564
402547,403003
402547,401185
402547,407247
402547,407665
402547,403599
399462,399465
399462,405180
399462,401763
399462,402464
399462,400564
399462,403003
399462,401185
399462,407247
399462,407665
399462,403599
397225,399465
397225,405180
397225,401763
397225,402464
397225,400564
397225,403003
397225,401185
397225,407247
397225,407665
397225,403599
397921,399465
397921,405180
397921,401763
397921,402464
397921,400564
397921,403003
397921,401185
397921,407247
397921,407665
397921,403599
388861,392594
388861,393495
388861,390184
388861,392885
388861,397652
388861,387752
388861,397078
388861,387634
388861,392195
388861,393747
391524,392594
391524,393495
391524,390184
391524,392885
391524,397652
391524,387752
391524,397078
391524,387634
391524,392195
391524,393747
387114,392594
387114,393495
387114,390184
387114,392885
387114,397652
387114,387752
387114,397078
387114,387634
387114,392195
387114,393747
391908,392594
391908,393495
391908,390184
391908,392885
391908,397652
391908,387752
391908,397078
391908,387634
391908,392195
391908,393747
387720,392594
387720,393495
387720,390184
387720,392885
387720,397652
387720,387752
387720,397078
387720,387634
387720,392195
387720,393747
391372,392594
391372,393495
391372,390184
391372,392885
391372,397652
391372,387752
391372,397078
391372,387634
391372,392195
391372,393747
388265,392594
388265,393495
388265,390184
388265,392885
388265,397652
388265,387752
388265,397078
388265,387634
388265,392195
388265,393747
386359,392594
386359,393495
386359,390184
386359,392885
386359,397652
386359,387752
386359,397078
386359,387634
386359,392195
386359,393747
392358,392594
392358,393495
392358,390184
392358,392885
392358,397652
392358,387752
392358,397078
392358,387634
392358,392195
392358,393747
386191,392594
386191,393495
386191,390184
386191,392885
386191,397652
386191,387752
386191,397078
386191,387634
386191,392195
386191,393747
394422,398134
394422,395606
394422,395693
394422,399697
394422,393939
394422,395716
394422,398218
394422,397596
394422,396224
394422,400165
390171,398134
390171,395606
390171,395693
390171,399697
390171,393939
390171,395716
390171,398218
390171,397596
390171,396224
390171,400165
396332,398134
396332,395606
396332,395693
396332,399697
396332,393939
396332,395716
396332,398218
396332,397596
396332,396224
396332,400165
394772,398134
394772,395606
394772,395693
394772,399697
394772,393939
394772,395716
394772,398218
394772,397596
394772,396224
394772,400165
392835,398134
392835,395606
392835,395693
392835,399697
392835,393939
392835,395716
392835,398218
392835,397596
392835,396224
392835,400165
394051,398134
394051,395606
394051,395693
394051,399697
394051,393939
394051,395716
394051,398218
394051,397596
394051,396224
394051,400165
393872,398134
393872,395606
393872,395693
393872,399697
393872,393939
393872,395716
393872,398218
393872,397596
393872,396224
393872,400165
394632,398134
394632,395606
394632,395693
394632,399697
394632,393939
394632,395716
394632,398218
394632,397596
394632,396224
394632,400165
390844,398134
390844,395606
390844,395693
390844,399697
390844,393939
390844,395716
390844,398218
390844,397596
390844,396224
390844,400165
393985,398134
393985,395606
393985,395693
393985,399697
393985,393939
393985,395716
393985,398218
393985,397596
393985,396224
393985,400165
1267531,1295246
1267531,1278627
1267531,1280731
1267531,1287027
1267531,1287738
1267531,1286004
1267531,1288469
1267531,1275152
1267531,1279659
1267531,1279621
1271335,1295246
1271335,1278627
1271335,1280731
1271335,1287027
1271335,1287738
1271335,1286004
1271335,1288469
1271335,1275152
1271335,1279659
1271335,1279621
1267224,1295246
1267224,1278627
1267224,1280731
1267224,1287027
1267224,1287738
1267224,1286004
1267224,1288469
1267224,1275152
1267224,1279659
1267224,1279621
1273123,1295246
1273123,1278627
1273123,1280731
1273123,1287027
1273123,1287738
1273123,1286004
1273123,1288469
1273123,1275152
1273123,1279659
1273123,1279621
1288412,1295246
1288412,1278627
1288412,1280731
1288412,1287027
1288412,1287738
1288412,1286004
1288412,1288469
1288412,1275152
1288412,1279659
1288412,1279621
1275145,1295246
1275145,1278627
1275145,1280731
1275145,1287027
1275145,1287738
1275145,1286004
1275145,1288469
1275145,1275152
1275145,1279659
1275145,1279621
1272048,1295246
1272048,1278627
1272048,1280731
1272048,1287027
1272048,1287738
1272048,1286004
1272048,1288469
1272048,1275152
1272048,1279659
1272048,1279621
1272023,1295246
1272023,1278627
1272023,1280731
1272023,1287027
1272023,1287738
1272023,1286004
1272023,1288469
1272023,1275152
1272023,1279659
1272023,1279621
1278858,1295246
1278858,1278627
1278858,1280731
1278858,1287027
1278858,1287738
1278858,1286004
1278858,1288469
1278858,1275152
1278858,1279659
1278858,1279621
1275623,1295246
1275623,1278627
1275623,1280731
1275623,1287027
1275623,1287738
1275623,1286004
1275623,1288469
1275623,1275152
1275623,1279659
1275623,1279621
1287009,1297045
1287009,1308049
1287009,1305085
1287009,1317500
1287009,1303080
1287009,1305326
1287009,1316062
1287009,1299887
1287009,1300489
1287009,1308898
1280702,1297045
1280702,1308049
1280702,1305085
1280702,1317500
1280702,1303080
1280702,1305326
1280702,1316062
1280702,1299887
1280702,1300489
1280702,1308898
1298715,1297045
1298715,1308049
1298715,1305085
1298715,1317500
1298715,1303080
1298715,1305326
1298715,1316062
1298715,1299887
1298715,1300489
1298715,1308898
1281593,1297045
1281593,1308049
1281593,1305085
1281593,1317500
1281593,1303080
1281593,1305326
1281593,1316062
1281593,1299887
1281593,1300489
1281593,1308898
1290412,1297045
1290412,1308049
1290412,1305085
1290412,1317500
1290412,1303080
1290412,1305326
1290412,1316062
1290412,1299887
1290412,1300489
1290412,1308898
1288742,1297045
1288742,1308049
1288742,1305085
1288742,1317500
1288742,1303080
1288742,1305326
1288742,1316062
1288742,1299887
1288742,1300489
1288742,1308898
1299154,1297045
1299154,1308049
1299154,1305085
1299154,1317500
1299154,1303080
1299154,1305326
1299154,1316062
1299154,1299887
1299154,1300489
1299154,1308898
1289755,1297045
1289755,1308049
1289755,1305085
1289755,1317500
1289755,1303080
1289755,1305326
1289755,1316062
1289755,1299887
1289755,1300489
1289755,1308898
1287503,1297045
1287503,1308049
1287503,1305085
1287503,1317500
1287503,1303080
1287503,1305326
1287503,1316062
1287503,1299887
1287503,1300489
1287503,1308898
1290741,1297045
1290741,1308049
1290741,1305085
1290741,1317500
1290741,1303080
1290741,1305326
1290741,1316062
1290741,1299887
1290741,1300489
1290741,1308898
1316155,1327805
1316155,1322223
1316155,1330035
1316155,1334227
1316155,1324981
1316155,1319628
1316155,1332756
1316155,1329891
1316155,1328825
1316155,1324483
1309246,1327805
1309246,1322223
1309246,1330035
1309246,1334227
1309246,1324981
1309246,1319628
1309246,1332756
1309246,1329891
1309246,1328825
1309246,1324483
1319077,1327805
1319077,1322223
1319077,1330035
1319077,1334227
1319077,1324981
1319077,1319628
1319077,1332756
1319077,1329891
1319077,1328825
1319077,1324483
1310751,1327805
1310751,1322223
1310751,1330035
1310751,1334227
1310751,1324981
1310751,1319628
1310751,1332756
1310751,1329891
1310751,1328825
1310751,1324483
1317078,1327805
1317078,1322223
1317078,1330035
1317078,1334227
1317078,1324981
1317078,1319628
1317078,1332756
1317078,1329891
