first,best
146353,146681
146353,146092
146353,145670
146353,140259
146353,143979
146353,147690
146353,144960
146353,145196
142171,136074
142171,149258
142171,146681
142171,146092
142171,145670
142171,140259
142171,143979
142171,147690
142171,144960
142171,145196
148156,136074
148156,149258
148156,146681
148156,146092
148156,145670
148156,140259
148156,143979
148156,147690
148156,144960
148156,145196
140138,150999
140138,146287
140138,145030
140138,144607
140138,143121
140138,148791
140138,144532
140138,142531
140138,147102
140138,146986
148689,150999
148689,146287
148689,145030
148689,144607
148689,143121
148689,148791
148689,144532
148689,142531
148689,147102
148689,146986
149303,150999
149303,146287
149303,145030
149303,144607
149303,143121
149303,148791
149303,144532
149303,142531
149303,147102
149303,146986
147254,150999
147254,146287
147254,145030
147254,144607
147254,143121
147254,148791
147254,144532
147254,142531
147254,147102
147254,146986
147715,150999
147715,146287
147715,145030
147715,144607
147715,143121
147715,148791
147715,144532
147715,142531
147715,147102
147715,146986
146613,150999
146613,146287
146613,145030
146613,144607
146613,143121
146613,148791
146613,144532
146613,142531
146613,147102
146613,146986
142481,150999
142481,146287
142481,145030
142481,144607
142481,143121
142481,148791
142481,144532
142481,142531
142481,147102
142481,146986
143452,150999
143452,146287
143452,145030
143452,144607
143452,143121
143452,148791
143452,144532
143452,142531
143452,147102
143452,146986
141367,150999
141367,146287
141367,145030
141367,144607
141367,143121
141367,148791
141367,144532
141367,142531
141367,147102
141367,146986
143830,150999
143830,146287
143830,145030
143830,144607
143830,143121
143830,148791
143830,144532
143830,142531
143830,147102
143830,146986
444262,437130
444262,446090
444262,449252
444262,438263
444262,456192
444262,443129
444262,439566
444262,444611
444262,441277
444262,444137
443285,437130
443285,446090
443285,449252
443285,438263
443285,456192
443285,443129
443285,439566
443285,444611
443285,441277
443285,444137
442402,437130
442402,446090
442402,449252
442402,438263
442402,456192
442402,443129
442402,439566
442402,444611
442402,441277
442402,444137
443219,437130
443219,446090
443219,449252
443219,438263
443219,456192
443219,443129
443219,439566
443219,444611
443219,441277
443219,444137
442438,437130
442438,446090
442438,449252
442438,438263
442438,456192
442438,443129
442438,439566
442438,444611
442438,441277
442438,444137
432834,437130
432834,446090
432834,449252
432834,438263
432834,456192
432834,443129
432834,439566
432834,444611
432834,441277
432834,444137
431962,437130
431962,446090
431962,449252
431962,438263
431962,456192
431962,443129
431962,439566
431962,444611
431962,441277
431962,444137
441124,437130
441124,446090
441124,449252
441124,438263
441124,456192
441124,443129
441124,439566
441124,444611
441124,441277
441124,444137
429786,437130
429786,446090
429786,449252
429786,438263
429786,456192
429786,443129
429786,439566
429786,444611
429786,441277
429786,444137
441625,437130
441625,446090
441625,449252
441625,438263
441625,456192
441625,443129
441625,439566
441625,444611
441625,441277
441625,444137
441091,444487
441091,437584
441091,447734
441091,446668
441091,443810
441091,452091
441091,437631
441091,432745
441091,445539
441091,442820
452433,444487
452433,437584
452433,447734
452433,446668
452433,443810
452433,452091
452433,437631
452433,432745
452433,445539
452433,442820
447410,444487
447410,437584
447410,447734
447410,446668
447410,443810
447410,452091
447410,437631
447410,432745
447410,445539
447410,442820
444209,444487
444209,437584
444209,447734
444209,446668
444209,443810
444209,452091
444209,437631
444209,432745
444209,445539
444209,442820
445504,444487
445504,437584
445504,447734
445504,446668
445504,443810
445504,452091
445504,437631
445504,432745
445504,445539
445504,442820
439688,444487
439688,437584
439688,447734
439688,446668
439688,443810
439688,452091
439688,437631
439688,432745
439688,445539
439688,442820
438666,444487
438666,437584
438666,447734
438666,446668
438666,443810
438666,452091
438666,437631
438666,432745
438666,445539
438666,442820
448912,444487
448912,437584
448912,447734
448912,446668
448912,443810
448912,452091
448912,437631
448912,432745
448912,445539
448912,442820
436515,444487
436515,437584
436515,447734
436515,446668
436515,443810
436515,452091
436515,437631
436515,432745
436515,445539
436515,442820
442517,444487
442517,437584
442517,447734
442517,446668
442517,443810
442517,452091
442517,437631
442517,432745
442517,445539
442517,442820
441698,444523
441698,451112
441698,445951
441698,443169
441698,434590
441698,438502
441698,438461
441698,441159
441698,438363
441698,450639
447901,444523
447901,451112
447901,445951
447901,443169
447901,434590
447901,438502
447901,438461
447901,441159
447901,438363
447901,450639
449161,444523
449161,451112
449161,445951
449161,443169
449161,434590
449161,438502
449161,438461
449161,441159
449161,438363
449161,450639
441800,444523
441800,451112
441800,445951
441800,443169
441800,434590
441800,438502
441800,438461
441800,441159
441800,438363
441800,450639
441178,444523
441178,451112
441178,445951
441178,443169
441178,434590
441178,438502
441178,438461
441178,441159
441178,438363
441178,450639
438571,444523
438571,451112
438571,445951
438571,443169
438571,434590
438571,438502
438571,438461
438571,441159
438571,438363
438571,450639
441222,444523
441222,451112
441222,445951
441222,443169
441222,434590
441222,438502
441222,438461
441222,441159
441222,438363
441222,450639
437594,444523
437594,451112
437594,445951
437594,443169
437594,434590
437594,438502
437594,438461
437594,441159
437594,438363
437594,450639
436728,444523
436728,451112
436728,445951
436728,443169
436728,434590
436728,438502
436728,438461
436728,441159
436728,438363
436728,450639
441251,444523
441251,451112
441251,445951
441251,443169
441251,434590
441251,438502
441251,438461
441251,441159
441251,438363
441251,450639
432967,449603
432967,446923
432967,451709
432967,442742
