first,best
127652,128032
127652,130146
127652,128507
127652,128805
127652,127686
127652,129431
127652,129808
128220,128861
128220,130495
128220,130036
128220,128032
128220,130146
128220,128507
128220,128805
128220,127686
128220,129431
128220,129808
126642,128861
126642,130495
126642,130036
126642,128032
126642,130146
126642,128507
126642,128805
126642,127686
126642,129431
126642,129808
127288,128861
127288,130495
127288,130036
127288,128032
127288,130146
127288,128507
127288,128805
127288,127686
127288,129431
127288,129808
125721,128861
125721,130495
125721,130036
125721,128032
125721,130146
125721,128507
125721,128805
125721,127686
125721,129431
125721,129808
128972,128861
128972,130495
128972,130036
128972,128032
128972,130146
128972,128507
128972,128805
128972,127686
128972,129431
128972,129808
127387,128861
127387,130495
127387,130036
127387,128032
127387,130146
127387,128507
127387,128805
127387,127686
127387,129431
127387,129808
127052,128861
127052,130495
127052,130036
127052,128032
127052,130146
127052,128507
127052,128805
127052,127686
127052,129431
127052,129808
126004,128375
126004,127582
126004,129294
126004,127638
126004,126909
126004,128425
126004,127174
126004,129027
126004,127586
126004,130008
125845,128375
125845,127582
125845,129294
125845,127638
125845,126909
125845,128425
125845,127174
125845,129027
125845,127586
125845,130008
126462,128375
126462,127582
126462,129294
126462,127638
126462,126909
126462,128425
126462,127174
126462,129027
126462,127586
126462,130008
125785,128375
125785,127582
125785,129294
125785,127638
125785,126909
125785,128425
125785,127174
125785,129027
125785,127586
125785,130008
126439,128375
126439,127582
126439,129294
126439,127638
126439,126909
126439,128425
126439,127174
126439,129027
126439,127586
126439,130008
125452,128375
125452,127582
125452,129294
125452,127638
125452,126909
125452,128425
125452,127174
125452,129027
125452,127586
125452,130008
126737,128375
126737,127582
126737,129294
126737,127638
126737,126909
126737,128425
126737,127174
126737,129027
126737,127586
126737,130008
124788,128375
124788,127582
124788,129294
124788,127638
124788,126909
124788,128425
124788,127174
124788,129027
124788,127586
124788,130008
125462,128375
125462,127582
125462,129294
125462,127638
125462,126909
125462,128425
125462,127174
125462,129027
125462,127586
125462,130008
125281,128375
125281,127582
125281,129294
125281,127638
125281,126909
125281,128425
125281,127174
125281,129027
125281,127586
125281,130008
127219,129100
127219,129545
127219,128810
127219,131013
127219,129040
127219,129549
127219,130333
127219,128096
127219,131532
127219,129969
127794,129100
127794,129545
127794,128810
127794,131013
127794,129040
127794,129549
127794,130333
127794,128096
127794,131532
127794,129969
127510,129100
127510,129545
127510,128810
127510,131013
127510,129040
127510,129549
127510,130333
127510,128096
127510,131532
127510,129969
128003,129100
128003,129545
128003,128810
128003,131013
128003,129040
128003,129549
128003,130333
128003,128096
128003,131532
128003,129969
128255,129100
128255,129545
128255,128810
128255,131013
128255,129040
128255,129549
128255,130333
128255,128096
128255,131532
128255,129969
127966,129100
127966,129545
127966,128810
127966,131013
127966,129040
127966,129549
127966,130333
127966,128096
127966,131532
127966,129969
126860,129100
126860,129545
126860,128810
126860,131013
126860,129040
126860,129549
126860,130333
126860,128096
126860,131532
126860,129969
127197,129100
127197,129545
127197,128810
127197,131013
127197,129040
127197,129549
127197,130333
127197,128096
127197,131532
127197,129969
126895,129100
126895,129545
126895,128810
126895,131013
126895,129040
126895,129549
126895,130333
126895,128096
126895,131532
126895,129969
128244,129100
128244,129545
128244,128810
128244,131013
128244,129040
128244,129549
128244,130333
128244,128096
128244,131532
128244,129969
377851,382759
377851,386200
377851,390052
377851,386427
377851,381053
377851,388719
377851,387776
377851,388556
377851,391812
377851,387339
376948,382759
376948,386200
376948,390052
376948,386427
376948,381053
376948,388719
376948,387776
376948,388556
376948,391812
376948,387339
377624,382759
377624,386200
377624,390052
377624,386427
377624,381053
377624,388719
377624,387776
377624,388556
377624,391812
377624,387339
378478,382759
378478,386200
378478,390052
378478,386427
378478,381053
378478,388719
378478,387776
378478,388556
378478,391812
378478,387339
378276,382759
378276,386200
378276,390052
378276,386427
378276,381053
378276,388719
378276,387776
378276,388556
378276,391812
378276,387339
378923,382759
378923,386200
378923,390052
378923,386427
378923,381053
378923,388719
378923,387776
378923,388556
378923,391812
378923,387339
377921,382759
377921,386200
377921,390052
377921,386427
377921,381053
377921,388719
377921,387776
377921,388556
377921,391812
377921,387339
378530,382759
378530,386200
378530,390052
378530,386427
378530,381053
378530,388719
378530,387776
378530,388556
378530,391812
378530,387339
374420,382759
374420,386200
374420,390052
374420,386427
374420,381053
374420,388719
374420,387776
374420,388556
374420,391812
374420,387339
378243,382759
378243,386200
378243,390052
378243,386427
378243,381053
378243,388719
378243,387776
378243,388556
378243,391812
378243,387339
382942,390430
382942,390979
382942,396358
382942,392217
382942,395223
382942,389700
382942,394030
382942,394833
382942,396285
382942,397482
384335,390430
384335,390979
384335,396358
384335,392217
384335,395223
384335,389700
384335,394030
384335,394833
384335,396285
384335,397482
383623,390430
383623,390979
383623,396358
383623,392217
383623,395223
383623,389700
383623,394030
383623,394833
383623,396285
383623,397482
385413,390430
385413,390979
385413,396358
385413,392217
385413,395223
385413,389700
385413,394030
385413,394833
385413,396285
385413,397482
383373,390430
383373,390979
383373,396358
383373,392217
383373,395223
383373,389700
383373,394030
383373,394833
383373,396285
383373,397482
383509,390430
383509,390979
383509,396358
383509,392217
383509,395223
383509,389700
383509,394030
383509,394833
383509,396285
383509,397482
384492,390430
384492,390979
384492,396358
384492,392217
384492,395223
384492,389700
384492,394030
384492,394833
384492,396285
384492,397482
383283,390430
383283,390979
383283,396358
383283,392217
383283,395223
383283,389700
383283,394030
383283,394833
383283,396285
383283,397482
382736,390430
382736,390979
382736,396358
382736,392217
382736,395223
382736,389700
382736,394030
382736,394833
382736,396285
382736,397482
383449,390430
383449,390979
383449,396358
383449,392217
383449,395223
383449,389700
383449,394030
383449,394833
383449,396285
383449,397482
379135,391661
379135,392945
379135,385684
379135,389715
379135,388525
379135,387410
379135,385674
379135,390421
379135,390883
379135,385989
380007,391661
380007,392945
380007,385684
380007,389715
380007,388525
380007,387410
380007,385674
380007,390421
380007,390883
380007,385989
380937,391661
380937,392945
380937,385684
380937,389715
380937,388525
380937,387410
380937,385674
380937,390421
380937,390883
380937,385989
379533,391661
379533,392945
379533,385684
379533,389715
379533,388525
379533,387410
379533,385674
379533,390421
379533,390883
379533,385989
381886,391661
381886,392945
381886,385684
381886,389715
381886,388525
381886,387410
381886,385674
381886,390421
381886,390883
381886,385989
379765,391661
379765,392945
379765,385684
379765,389715
379765,388525
379765,387410
379765,385674
